date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-06-04,powerloom-bds,glm-5,28209,2769,157184,0
2026-06-04,powerloom-bds,glm-5,31132,906,111232,0
2026-06-04,heartbeat,claude-opus-4-8,37529,2587,384704,0
2026-06-04,powerloom-bds,glm-5,26039,681,153600,0
2026-06-04,powerloom-bds,glm-5,27572,821,158848,0
2026-06-04,powerloom-bds,glm-5,26014,711,127488,0
2026-06-04,powerloom-bds,glm-5,27149,749,103104,0
2026-06-04,powerloom-bds,glm-5,30696,641,108736,0
2026-06-04,powerloom-bds,glm-5,27668,631,127232,0
2026-06-04,powerloom-bds,glm-5,24946,815,99264,0
2026-06-04,powerloom-bds,glm-5,29090,652,107200,0
2026-06-04,powerloom-bds,glm-5,28315,922,190400,0
2026-06-04,powerloom-bds,glm-5,25671,749,99520,0
2026-06-04,powerloom-bds,glm-5,30068,702,108416,0
2026-06-04,powerloom-bds,glm-5,29195,774,164928,0
2026-06-04,powerloom-bds,glm-5,31090,1096,169984,0
2026-06-04,powerloom-bds,glm-5,28748,723,105984,0
2026-06-04,powerloom-bds,glm-5,10305,647,154112,0
2026-06-04,powerloom-bds,glm-5,27452,837,130432,0
2026-06-04,powerloom-bds,glm-5,30143,682,139264,0
2026-06-04,heartbeat,claude-opus-4-8,38267,2549,520640,0
2026-06-04,powerloom-bds,glm-5,15290,3214,433920,0
2026-06-04,powerloom-bds,glm-5,7130,567,93952,0
2026-06-04,powerloom-bds,glm-5,27301,817,157376,0
2026-06-04,powerloom-bds,glm-5,29948,887,162752,0
2026-06-04,powerloom-bds,glm-5,31188,1038,297664,0
2026-06-04,powerloom-bds,glm-5,28762,1007,78272,0
2026-06-04,powerloom-bds,glm-5,27943,765,133824,0
2026-06-04,powerloom-bds,glm-5,11936,916,222080,0
2026-06-04,powerloom-bds,glm-5,28794,741,78272,0
2026-06-04,powerloom-bds,glm-5,31983,1156,143552,0
2026-06-04,powerloom-bds,glm-5,29435,861,137920,0
2026-06-05,powerloom-bds,glm-5,28655,1270,164480,0
2026-06-05,powerloom-bds,glm-5,29275,694,108288,0
2026-06-05,powerloom-bds,glm-5,24622,678,73792,0
2026-06-05,powerloom-bds,glm-5,5272,558,103488,0
2026-06-05,powerloom-bds,glm-5,7696,610,168320,0
2026-06-05,powerloom-bds,glm-5,10200,793,209920,0
2026-06-05,powerloom-bds,glm-5,6821,763,164416,0
2026-06-05,powerloom-bds,glm-5,8365,674,140928,0
2026-06-05,powerloom-bds,glm-5,7901,813,168128,0
2026-06-05,powerloom-bds,glm-5,10508,801,178304,0
2026-06-05,powerloom-bds,glm-5,32659,764,113600,0
2026-06-05,powerloom-bds,glm-5,12474,697,152512,0
2026-06-05,powerloom-bds,glm-5,10572,704,193856,0
2026-06-05,powerloom-bds,glm-5,32438,678,81664,0
2026-06-05,powerloom-bds,glm-5,32783,631,114752,0
2026-06-05,powerloom-bds,glm-5,17219,653,140608,0
2026-06-05,powerloom-bds,glm-5,26686,836,154496,0
2026-06-05,powerloom-bds,glm-5,6703,841,273984,0
2026-06-05,powerloom-bds,glm-5,20529,728,217088,0
2026-06-05,powerloom-bds,glm-5,12856,1848,150912,0
2026-06-05,powerloom-bds,glm-5,23121,1566,181184,0
2026-06-05,powerloom-bds,glm-5,16460,579,124992,0
2026-06-05,powerloom-bds,glm-5,15733,627,123200,0
2026-06-05,powerloom-bds,glm-5,19104,1175,416064,0
2026-06-05,heartbeat,claude-opus-4-8,37472,2059,211392,0
2026-06-05,powerloom-bds,glm-5,17379,669,87488,0
2026-06-05,powerloom-bds,glm-5,19518,572,89792,0
2026-06-05,powerloom-bds,glm-5,16958,435,87168,0
2026-06-05,powerloom-bds,glm-5,17686,634,206016,0
2026-06-05,powerloom-bds,glm-5,19845,672,211968,0
2026-06-05,powerloom-bds,glm-5,66081,1845,300416,0
2026-06-05,powerloom-bds,glm-5,40480,857,208896,0
2026-06-05,powerloom-bds,glm-5,41922,898,175424,0
2026-06-05,powerloom-bds,glm-5,40850,788,169600,0
2026-06-05,powerloom-bds,glm-5,41176,730,130752,0
2026-06-05,powerloom-bds,glm-5,42233,764,129216,0
2026-06-05,powerloom-bds,glm-5,27781,678,100608,0
2026-06-05,powerloom-bds,glm-5,42434,890,132736,0
2026-06-05,powerloom-bds,glm-5,43250,529,92672,0
2026-06-05,powerloom-bds,glm-5,46676,822,224832,0
2026-06-05,powerloom-bds,glm-5,25585,802,199104,0
2026-06-05,powerloom-bds,glm-5,45656,971,275712,0
2026-06-05,powerloom-bds,glm-5,47756,660,142336,0
2026-06-05,powerloom-bds,glm-5,33078,641,82368,0
2026-06-05,powerloom-bds,glm-5,31396,653,78848,0
2026-06-05,powerloom-bds,glm-5,34803,617,150272,0
2026-06-05,powerloom-bds,glm-5,35143,821,149248,0
2026-06-05,powerloom-bds,glm-5,37028,665,86272,0
2026-06-05,powerloom-bds,glm-5,36306,686,152448,0
2026-06-05,powerloom-bds,glm-5,41197,1438,170496,0
